question,option_1,option_2,option_3,option_4,correct_answer,category_id,display_date,created_by,updated_by
"Which planet is known as the Red Planet?",Mars,Venus,Jupiter,Saturn,1,2,,system,
"What is the largest ocean on Earth?",Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,4,1,,system,
"Who painted the Mona Lisa?",Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Claude Monet,3,4,,system,
"Which element has the chemical symbol 'O'?",Gold,Oxygen,Silver,Iron,2,2,,system,
"What is the capital city of Australia?",Sydney,Melbourne,Canberra,Perth,3,1,,system,
"In which year did the Titanic sink?",1912,1905,1920,1898,1,3,,system,
"What is the smallest country in the world?",Monaco,Vatican City,Nauru,San Marino,2,1,,system,
"How many hearts does an octopus have?",1,2,3,4,3,2,,system,
"What is the currency of Japan?",Yuan,Won,Yen,Ringgit,3,1,,system,
"Who wrote '1984'?",George Orwell,Aldous Huxley,Ray Bradbury,J.K. Rowling,1,4,,system,
"What is the hardest natural substance on Earth?",Gold,Iron,Diamond,Quartz,3,2,,system,
"Which country gifted the Statue of Liberty to the USA?",Germany,France,Italy,Spain,2,3,,system,
"What is the main ingredient in hummus?",Lentils,Chickpeas,Fava beans,Black beans,2,,system,
"How many planets are in our solar system?",7,8,9,10,2,2,,system,
"Which is the longest river in the world?",Amazon,Nile,Yangtze,Mississippi,2,1,,system,
"Who was the first woman to win a Nobel Prize?",Marie Curie,Mother Teresa,Ada Lovelace,Rosalind Franklin,1,3,,system,
"What is the capital of France?",Berlin,Madrid,Paris,Rome,3,1,2025-12-31,system,
"What is the fastest land animal?",Lion,Cheetah,Leopard,Antelope,2,2,,system,
"Which organ in the human body is responsible for pumping blood?",Lungs,Brain,Heart,Liver,3,2,,system,
"What is the square root of 144?",10,11,12,14,3,,system,
"In which country were the first Olympic Games held?",Italy,Egypt,Greece,China,3,3,,system,
"Which language has the most native speakers?",English,Spanish,Mandarin Chinese,Hindi,3,,system,
"What is the capital of Canada?",Toronto,Vancouver,Ottawa,Montreal,3,1,,system,
"Who discovered penicillin?",Alexander Fleming,Louis Pasteur,Gregor Mendel,Isaac Newton,1,2,,system,
"What is the largest desert in the world?",Sahara,Gobi,Antarctic,Kalahari,3,1,,system,
"What is the national animal of Scotland?",Lion,Unicorn,Stag,Eagle,2,3,,system,
"Which gas do plants absorb from the atmosphere?",Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,3,2,,system,
"Who is known as the 'Father of Computers'?",Alan Turing,Bill Gates,Charles Babbage,Steve Jobs,3,3,,system,
"What is the chemical formula for water?",CO2,H2O,O2,NaCl,2,2,,system,
"Which city is known as the Big Apple?",Los Angeles,Chicago,Miami,New York City,4,1,,system,
