question,option_1,option_2,option_3,option_4,correct_answer,category_id,display_date,created_by,updated_by
"What is the chemical symbol for Gold?",Ag,Au,Gd,Fe,2,3,,system,
"Which country is home to the kangaroo?",India,South Africa,Australia,Brazil,3,1,,system,
"How many continents are there on Earth?",5,6,7,8,3,1,,system,
"What is the capital city of Japan?",Seoul,Beijing,Bangkok,Tokyo,4,1,,system,
"Who wrote the play 'Romeo and Juliet'?",Charles Dickens,William Shakespeare,Mark Twain,Jane Austen,2,4,,system,
"What is the hardest natural substance on Earth?",Gold,Iron,Diamond,Quartz,3,3,,system,
"Which gas do plants absorb from the atmosphere?",Oxygen,Nitrogen,Hydrogen,Carbon Dioxide,4,3,,system,
"What is the largest mammal in the world?",Elephant,Blue Whale,Giraffe,Great White Shark,2,1,,system,
"In which year did the Titanic sink?",1912,1905,1920,1898,1,5,,system,
"Who is known as the 'Father of Computers'?",Alan Turing,Bill Gates,Charles Babbage,Steve Jobs,3,3,,system,
"What is the smallest prime number?",0,1,2,3,3,3,,system,
"Which organ is responsible for pumping blood?",Lungs,Brain,Liver,Heart,4,3,,system,
"What is the currency of the United Kingdom?",Euro,Dollar,Pound Sterling,Yen,3,1,,system,
"Which element has the atomic number 1?",Helium,Oxygen,Hydrogen,Carbon,3,3,,system,
"Who was the first man to step on the moon?",Buzz Aldrin,Neil Armstrong,Yuri Gagarin,John Glenn,2,5,,system,
"What is the capital of France?",Berlin,Madrid,Rome,Paris,4,1,,system,
"Which planet is closest to the Sun?",Venus,Mars,Mercury,Earth,3,2,,system,
"How many colors are in a rainbow?",6,7,8,9,2,3,,system,
"What is the longest river in the world?",Amazon,Mississippi,Yangtze,Nile,4,1,,system,
"Which animal is known as the Ship of the Desert?",Horse,Camel,Elephant,Donkey,2,1,,system,
"What is the square root of 144?",10,11,12,14,3,3,,system,
"Which language is the most spoken worldwide?",Spanish,English,Mandarin Chinese,Hindi,3,1,,system,
"What is the boiling point of water at sea level?",90°C,100°C,110°C,120°C,2,3,,system,
"Who discovered penicillin?",Marie Curie,Alexander Fleming,Isaac Newton,Albert Einstein,2,3,,system,
"Which country is known as the Land of the Rising Sun?",China,South Korea,Japan,Thailand,3,1,,system,
"What is the largest bone in the human body?",Skull,Femur,Rib,Spine,2,3,,system,
"Which instrument is used to measure atmospheric pressure?",Thermometer,Barometer,Hygrometer,Anemometer,2,3,,system,
"Who wrote '1984'?",George Orwell,Aldous Huxley,Ray Bradbury,J.K. Rowling,1,4,,system,
"What is the main ingredient in guacamole?",Tomato,Onion,Avocado,Pepper,3,1,,system,
"Which desert is the largest in the world?",Sahara,Gobi,Kalahari,Antarctic,4,1,,system,
"How many teeth does an adult human usually have?",28,30,32,34,3,3,,system,
"What is the capital of Italy?",Venice,Florence,Naples,Rome,4,1,,system,
"Which bird is unable to fly?",Eagle,Ostrich,Parrot,Sparrow,2,1,,system,
"What is the fastest land animal?",Lion,Horse,Cheetah,Leopard,3,1,,system,
"Who painted the Sistine Chapel ceiling?",Leonardo da Vinci,Michelangelo,Raphael,Donatello,2,4,,system,
"What is the primary gas found in the Sun?",Oxygen,Nitrogen,Hydrogen,Helium,3,2,,system,
"Which sea is the saltiest on Earth?",Caspian Sea,Dead Sea,Red Sea,Mediterranean Sea,2,1,,system,
"What is the national flower of India?",Rose,Lotus,Lily,Sunflower,2,1,,system,
"How many seconds are in an hour?",3600,60,360,1200,1,3,,system,
"Which continent is the Sahara Desert located in?",Asia,Africa,South America,Australia,2,1,,system,
"What is the pH level of pure water?",5,6,7,8,3,3,,system,
"Who is the author of 'Harry Potter'?",George R.R. Martin,J.R.R. Tolkien,J.K. Rowling,C.S. Lewis,3,4,,system,
"What is the capital of Canada?",Toronto,Vancouver,Montreal,Ottawa,4,1,,system,
"Which planet has a prominent ring system?",Mars,Venus,Jupiter,Saturn,4,2,,system,
"What is the study of stars and planets called?",Biology,Geology,Astronomy,Physics,3,3,,system,
"Who was the first President of the United States?",Thomas Jefferson,Abraham Lincoln,George Washington,John Adams,3,5,,system,
"What is the largest country by land area?",USA,China,Russia,Canada,3,1,,system,
"How many legs does a spider have?",6,8,10,12,2,1,,system,
"Which metal is liquid at room temperature?",Gold,Iron,Mercury,Silver,3,3,,system,
"What is the capital of Australia?",Sydney,Melbourne,Canberra,Perth,3,1,,system,
